functional_genre,genre_confidence,speech_act,actual_cta,narrative_structure,image_role,image_caption_relation,target_audience,appeal_type,species_mentioned,register_tone,notes,post_id,vq_aesthetic,vq_production_effort,vq_human_presence,vq_people_role,vq_visual_species,vq_colour_mood,vq_on_image_text_amount,missed_visual_flag,missed_visual_why
institutional personnel announcement,high,announce,none,milestone,illustrative,repeats,general-public|peers/researchers|policymakers,informational,,institutional-formal,"This is a standard government communications post announcing a new deputy-minister appointment and leadership welcome meeting. No wildlife, conservation argument, or audience engagement device is present. The Namib desert mural behind the two officials is a landscape backdrop prop, not a nature-communication element. No species are mentioned or visible. The post functions purely as institutional record-keeping communicated publicly — comparable to a press-office news release translated into Instagram format.",DW3WLwbiIzy,competent,medium,group,Minister Indileni Daniel and Deputy Minister Anselm Marungu posed formally for an official meet-and-greet photo in what appears to be a government office with a Namibian landscape mural backdrop,,warm ochre and muted tones from the desert-landscape mural background; formal dark and beige attire,none,False,The caption makes no specific showable claim beyond the meeting itself; a two-person official photo adequately documents the event described.
institutional meeting report,high,announce,none,anecdote,illustrative,repeats,general-public|peers/researchers|policymakers,informational,,institutional-formal,"Classic government press-release post: a posed handshake photo with an informational caption summarising who met, why, and what was said. No wildlife imagery despite the anti-poaching and wildlife-crime agenda; the Namib desert mural in the background provides the only nature reference. No call to action. The image adds no information beyond confirming the two named figures were physically present together.",DW4hFLgDm7x,competent,medium,group,"Minister Indileni Daniel (left, in red-floral dress) and Police Inspector General Joseph Shikongo (right, in full-dress uniform with medals and sash) shaking hands — both are named officials central to the caption's content",,"warm amber-red tones from the Namib desert mural backdrop, contrasting with the Inspector General's blue-and-gold dress uniform; overall vivid but indoor",none,False,"The caption describes a bilateral meeting; the handshake photo is the conventional and appropriate document of that event. No specific showable claim (a statistic, a map, a before/after) is omitted."
event coverage report,high,inform,none,anecdote,illustrative,adds-info,peers/researchers|policymakers|supporters,informational,,institutional-formal,"Post functions as a live conference dispatch — documenting an official's day-one summary rather than advocating for any position. No wildlife, no conservation imagery; entirely a governance/institutional communication artifact. The image adds authenticity (real person, real microphone) but loses context by cropping out the conference setting entirely.",DWUhj7VjtYE,competent,medium,one-person,named official (Deputy Executive Director Colgar Sikopo) being interviewed/filmed as the post's primary subject,,"warm-neutral, outdoor ambient light, muted blues and greys",none,True,"Caption references a two-day National CBNRM Conference with multiple speakers, traditional leaders, and regional stakeholders — a showable group scene or conference hall context — but the image shows only a single person holding a microphone outdoors, stripping all visual evidence of the conference scale and multi-stakeholder character the caption asserts."
event coverage report,high,inform,"Story in full, available here: www.eif.org.na",explainer/list,illustrative,adds-info,peers/researchers|policymakers|donors,informational,,institutional-formal,"Post is a summit recap, not a conservation or wildlife communication. Its function is institutional event reporting aimed at policy and finance audiences. The image credibly places a named official at the event but does nothing to visualise the energy-access data that anchors the caption's argument. No species, no nature content; this falls in the policy/energy-transition domain rather than Namibian wildlife conservation.",DXM5JzSjdGk,professional,high,one-person,"Hon. Indileni Daniel, Namibian minister, shown speaking at a podium flanked by the Namibian and African Union flags — establishes institutional authority",,"dark, formal — navy curtain background, muted tones with flag colour accents; conveys gravitas",none,True,"The caption cites a stark statistic (100 million people without electricity, US$83 billion financing gap) that is concrete and showable as a graphic or data card; the image shows only a speaker at a podium and conveys none of this numerical weight."
staff congratulation announcement,high,celebrate,none,milestone,illustrative,repeats,general-public,social-normative,,institutional-formal,"This is an internal institutional congratulations post from a Namibian conservation or environment ministry office, celebrating a senior official's personal academic achievement. It has no conservation content, no species, no call to action, and no persuasion frame. The photograph appears to be a candid event snap contributed by a third party, consistent with the caption note 'Photographs contributed'. The post functions as an inward-facing staff recognition announcement shared publicly.",DXMfT__iL4g,competent,low,group,"The subject (likely the Deputy Minister) is shown centre-right in graduation gown and cap, smiling; two other graduands are visible in the background. No organisation staff or minister is identifiable.",,"warm gold and red curtain backdrop, black academic robes with red trim, bright overhead lighting — celebratory but unpolished",minimal,False,Caption describes a graduation event and the image shows exactly that — a UNAM graduation ceremony with people in academic regalia. No specific showable claim is left unillustrated.
capacity showcase,high,inform,none,showcase,illustrative,adds-info,"general-public, supporters","informational, identity",,warm-personal,"Classic 'Did you know?' organisational-capability format. The rhetorical function is to reframe conservation as operationally complex and self-sufficient — the surprising hook being that a conservation tech team services aircraft, not just field equipment. No wildlife present; this is entirely infrastructure-oriented. The mural fragment ('for sustainable deserts') and tree paintings visible in the background passively reinforce the organisation's identity without caption support. The aircraft registration (G-SMLI) and a partial URL ('www.rvc.ac.u…') suggest a Royal Veterinary College (UK) partnership or loan — a detail the caption omits entirely, which is a minor informational gap but not a visual opportunity missed under the schema's strict criterion.",DQomPRvDhb2,competent,medium,one-person,Staff technician shown as the active subject performing maintenance on the aircraft; their labour is the entire point of the post,,"Bright Namibian daylight — deep blue sky, warm sand, blue overalls, red-and-white aircraft; clean and open",none,False,The caption's specific claim — that the tech team maintains airplanes — is directly and fully illustrated by the image; no showable claim is left unaddressed.
service disruption notice,high,announce,kindly contact us via email at info@eif.org.na,none,text-carrier,repeats,"peers/researchers, donors, general-public",informational,,institutional-formal,"Posted by the Environmental Investment Fund of Namibia (EIF). The image is a branded graphic card that restates the caption's content almost verbatim, adding one piece of information the caption omits: the alternative contact email (info@eif.org.na). The caption itself provides no email redirect. The torn-paper design aesthetic and EIF logo maintain brand identity. No conservation content; purely an internal service communication pushed through Instagram as a stakeholder notice channel.",DUaaK2PjUEr,competent,medium,none,none,,"olive-green on off-white; calm, on-brand, slightly bureaucratic",text-dominant,False,"The post is an operational notice with no showable claim about nature, wildlife, or place; a photographic image would be inappropriate here."
release milestone narrative,high,narrate,none,anecdote,illustrative,adds-info,general-public|supporters|donors,emotional|identity,caracal,warm-personal,"Classic orphan-rescue-to-release arc told as a named-individual story ('Cleo'), a well-established genre in wildlife NGO communication. The IV drip bag visible in one staff member's hand confirms this is a sedation/veterinary scene, likely the collaring step rather than the release itself. The caption's emotional resolution ('Run free, Cleo') is stronger than what the image delivers. No explicit CTA; the www.harnas.org link is informational/credit, not a fundraising ask. The Naankuse mantra ('Returning the wild to the wild') doubles as an identity statement for the organisation.",DUdtwy-jdBl,competent,medium,group,wildlife care staff posing with sedated caracal during GPS collar procedure,caracal,"warm, sun-drenched savanna greens and sandy tones; cheerful and optimistic",none,True,"Caption climaxes with Cleo stepping back into the wild on 29 January 2026, but the image shows her sedated/anaesthetised during collar-fitting — a veterinary procedure shot, not a release moment. A release or post-release photo would have matched the emotional peak of the story; instead the image inadvertently shows Cleo immobilised, which undercuts the 'run free' message."
seasonal greeting,high,commemorate,none,none,text-carrier,repeats,general-public,emotional|aesthetic,cheetah,warm-personal,"A Valentine's Day greeting post in which a cheetah eating from a bowl surrounded by a ring of yellow flowers serves as the visual hook. The scripted 'Happy Valentines Day' overlay duplicates the caption. The staging (flowers arranged around the feeding bowl) is a deliberate, playful setup to tie the animal to the holiday theme. No conservation message or CTA is present; the function is purely celebratory/relational audience maintenance.",DUwbUUNj_NO,competent,medium,none,absent,cheetah,earthy warm tones with bright yellow flowers against arid ground,minimal,False,The post's sole purpose is a calendar greeting; no specific claim is made that the image fails to illustrate.
wildlife rescue narrative,high,narrate,none,anecdote,illustrative,unrelated,"general-public, supporters, tourists","emotional, identity",rock hyrax,warm-personal,"The post is a feel-good rescue-to-release anecdote typical of sanctuary accounts. Its emotional appeal rests entirely on the caption; the image adds no narrative value. The two women in Naankuse uniforms beside a branded pickup truck could accompany virtually any post from this account. The Naankuse vehicle in the background creates an accidental visual rhyme with 'car engine' in the opening line, but this is coincidental and uninformative. Production of the image itself is competent (sharp focus, good exposure) but the editorial choice to use it here is a substantial missed opportunity given how photogenic hyraxes are and how central the animals are to the story being told.",DVWk_muDRUJ,professional,medium,group,"Naankuse staff members in branded uniforms, shown in mid-conversation — represent the care team referenced in the caption but are not identified or doing anything rescue-related",,"warm earthy — sandy beige, khaki, strong midday sun",none,True,"The caption narrates a specific, visually rich rescue arc — baby hyraxes discovered in a car engine, cared for at the sanctuary, released onto rocky canyon terrain — yet the image shows none of this. No hyraxes appear anywhere in the frame. The caption makes concrete showable claims (engine discovery, fluffy juveniles, rocky release site) that the image completely ignores, substituting two staff members talking beside a truck."
wildlife character showcase,high,inform,none,showcase,illustrative,repeats,tourists|general-public,emotional|aesthetic,rock hyrax; dassie,warm-personal,"Extreme close-up macro shot of a single rock hyrax (dassie) face dominates the frame; rocky surface faintly visible in background bokeh. Image is engaging but tightly cropped and slightly soft-focus — likely a frame pull from video. The caption does the informational heavy-lifting (adaptation facts, behavioural cues), while the image functions mainly as an affective hook. Post reads as lodge content marketing aimed at nature-curious tourists, using the dassie as a charming 'small five' type feature rather than making any conservation argument.",DW9CcE-D6SX,competent,medium,none,n/a,rock hyrax,"warm brown-grey, shallow depth of field, soft-focus background suggesting proximity and intimacy",none,True,"Caption describes group behaviours — darting into crevices, basking, nibbling, stretching, keeping lookout — none of which are visible. A single extreme close-up of one dassie's face at an indeterminate location illustrates the animal's existence but not the cliff-habitat specialisation or social behaviours the text foregrounds."
periodic stats report,high,inform,none,explainer/list,text-carrier,repeats,general-public|supporters,informational,Cape fur seal,institutional-formal,Split-panel infographic layout: left half shows a close-up photo of a Cape fur seal pup on sand; right half carries the stats panel ('STATS / AS OF 31 MAR 2026 / TOTAL SEALS RESCUED 24') with Ocean Conservation Namibia branding and ocnamibia.org URL. The image replicates the caption's headline number but omits the location breakdown and entanglement-type detail that appear only in the caption. No call to action is present; the post functions purely as a monthly operational transparency update.,DWk1d0DDHm-,competent,medium,none,none visible,Cape fur seal,"sky-blue and grey; clean, report-style palette",text-dominant,False,The caption lists counts and entanglement types rather than making a showable visual claim; the graphic already surfaces the key number (24). A breakdown chart per location or entanglement type would add value but is not a missed opportunity given the caption's scope.
operational readiness update,high,announce,none,milestone,illustrative,adds-info,"supporters, general-public","informational, identity",,warm-personal,Organisation logo watermark visible top-left (blue circular bird/wildlife emblem). A second person is partially cropped in at lower-left but not identifiable. No wildlife or conservation subjects appear in frame. The post functions as a low-effort internal momentum signal ('we're equipped and about to go') aimed at engaged followers rather than a substantive information post. Nets most likely mist-nets or mistnets for bird-ringing/banding fieldwork given the apparent wildlife-research mandate of the account.,DXg3UF6CdnC,amateur,low,one-person,staff or researcher presenting equipment to camera in an informal behind-the-scenes moment,,"muted neutral — grey concrete, dark jacket, pale sky; no vivid wildlife colour",minimal,True,"Caption makes a specific, showable claim — the new nets themselves — but the frame is a candid, slightly blurry portrait of a staff member holding a small bundle of netting at his side. A clear shot of the nets laid out or being rigged would have substantiated the 'ready for action' claim far more directly."
behind-the-scenes rescue update,high,inform,Visit cheetah.org,anecdote,illustrative,adds-info,general-public|supporters|donors,emotional|informational,cheetah,warm-personal,"Image appears to be a still from a vertical phone video (low-angle, slightly blurry), shot indoors in what looks like a domestic or clinic-style care room. Two cheetah cubs are visible but partially obscured by a large white stuffed toy/plush, making individual identification difficult. The scene conveys care and enrichment (toys, blanket) rather than the enforcement/rescue context the caption foregrounds. No on-image text, branding, or facility signage present.",DXpWrXrDEJt,competent,medium,none,none visible,cheetah,"warm neutral — grey floor, muted browns and beige fur, pops of primary-colour toys (red, yellow)",none,True,"The caption specifies two recently confiscated cheetah cubs as 'most recent arrivals' and names the collaborative enforcement effort; the image shows the cubs from a distance on the floor amid toys and blankets but does not clearly show two distinct individuals, their condition, or any contextual CRCC signage/setting that would ground the specific rescue claim visually."
audience engagement quiz,high,invite,Drop your answer in the comment section.,none,text-carrier,repeats,general-public|supporters,social-normative|informational,Cape fur seal,playful,"Classic engagement-bait format (multiple-choice quiz graphic) designed to drive comments. The Ocean Conservation Namibia logo is visible top-right. The four answer options (30–45, 45–55, 55–65, 65–75) imply a high monthly rescue volume, which functions as an implicit impact signal even before the answer is revealed. No seals appear in the frame; the inset photo is decorative/contextual rather than evidential.",DXvye8QFSV3,competent,medium,group,"Conservation fieldworkers/observers on a beach, used as contextual backdrop rather than focal subject",,"bright blue gradient, upbeat and energetic",text-dominant,True,"Caption and graphic ask about entangled seal rescues — a concrete, showable subject — but the inset photo shows three people with binoculars on a beach with no seals visible and no rescue activity depicted; a photo of an actual entangled seal or a rescue in progress would substantiate the claim and raise stakes."
educational species spotlight,high,inform,none,explainer/list,text-carrier,adds-info,"general-public, youth, local-community",informational,Zambezi Teak; Baikiaea plurijuga,institutional-formal,"Part of a recurring 'Plant of the Month' series by namyouthchamber. The caption is a minimal hook; the infographic carries all substantive content across six labelled panels (Scientific Facts, Did You Know, A.K.A., Threats, Range) plus an embedded tree photo. IUCN Near Threatened status is noted under Threats but not foregrounded. The post functions as nature education, not advocacy or persuasion.",DQ87jsuDEw5,competent,medium,none,none,Zambezi Teak (Baikiaea plurijuga),"warm earth tones — ochre, terracotta, cream, olive green",text-dominant,False,"The infographic embeds a photograph of the actual tree and organises scientific facts, range, threats, and common names into labelled panels — the image actively delivers the informational content the caption promises."
method explainer,high,inform,none,explainer/list,decorative,unrelated,peers/researchers,informational,,institutional-formal,"This is a reel frame (subtitle word 'will' visible bottom-left), almost certainly extracted from a video about field methods. The thumbnail/cover image of a close-up aardwolf pup is visually arresting but functionally unrelated to the EpiCollect explainer caption. The caption itself is a straightforward technical explainer aimed at research peers, describing a mobile data-collection platform with no persuasive frame, no conservation appeal, and no call to action. The species in the image appears to be an aardwolf juvenile based on striped grey coat and large ears; it is not mentioned anywhere in the caption.",DSFsknpDGEy,professional,medium,none,not present,aardwolf,"muted earth tones, dim natural light, warm bokeh background",minimal,True,"The caption makes specific, showable claims about EpiCollect's interface—GPS mapping, smartphone data entry, web dashboard, field ecology workflow—none of which appear in the image. A screenshot of the app, a map output, or a researcher using a phone in the field would directly illustrate the method described. Instead the image shows a close-up of a wild canid, which has no visible connection to data collection tools or methodology."
memorial tribute post,high,commemorate,none,anecdote,illustrative,adds-info,"peers/researchers,supporters","emotional,identity",gemsbok; baboon,warm-personal,"This is an obituary/memorial post for a long-standing Gobabeb associate. The cockpit selfie is clearly a personal photograph rather than an organisational production asset, which is appropriate for the genre and reinforces authenticity. No wildlife are visible in the image despite gemsbok and baboons being mentioned in the caption. The caption's closing metaphor ('taken his final flight… presence circles above us still') deliberately echoes the image's aviation context, creating coherence between text and photo. No persuasive or advocacy frame is present.",DSMVuCOCTl_,amateur,low,one-person,"the deceased — Conrad Nad Brain — photographed informally in the cockpit of a light aircraft, wearing a flight headset and sunglasses; functions as a personal portrait memorialising his pilot identity",,"muted warm tones, grey interior, natural daylight — intimate and unpolished",none,False,The caption does not make a specific showable claim that demands a different image; the personal cockpit selfie authentically reinforces the pilot identity central to the tribute.
event documentation,high,announce,none,showcase,text-carrier,adds-info,peers/researchers,identity,,institutional-formal,"Caption is a single truncated org-name line ('The National Botanical Research Institute') with no descriptive text — all substantive content is carried by the overlaid green script reading 'Specify Database Training Workshop'. Specify is open-source biodiversity collections-management software, placing this firmly in a capacity-building / professional-development context aimed at natural history collections staff and researchers. Approximately 20–25 people pictured. No wildlife or species content anywhere in the post.",DSRfVglE9R7,competent,medium,crowd,Workshop participants and facilitators posing for a group photo after or during the Specify Database Training Workshop,,"warm bright daylight, varied colourful casual clothing against sandstone-toned building",moderate,False,The caption is a bare org-name tag with no specific showable claim; the image itself supplies the missing context via on-image text. No informational gap the image should have filled.
wildlife behaviour explainer,high,inform,none,explainer/list,illustrative,repeats,"general-public, tourists","informational, emotional",lion,warm-personal,"The post functions as a nature-education micro-explainer on lion courtship ethology, with a light anthropomorphic framing around female agency ('she's not interested'). The one notable detail visible in the image is that the lion's left eye appears clouded or damaged, which is not acknowledged in the caption. Only one lion is shown despite the caption centering a dyadic male-female interaction; the image therefore illustrates the species but not the behaviour.",DScAMoqDGfB,competent,medium,none,none,lion (male),"muted cool grey-beige; dry bush background, desaturated and natural",none,True,"The caption describes specific, showable courtship behaviours — a male following a female, physical contact, a female snapping or swatting — but the image is a solo frontal portrait of a male lion. None of the claimed interactions are visible, making the image a missed opportunity to substantiate the behaviour described."
team member introduction,high,announce,none,none,illustrative,adds-info,general-public|peers/researchers,informational|identity,,warm-personal,"The image adds meaningful context beyond the caption: it shows Hannah engaged with scientific field equipment (a SOLYS 2 sun tracker), which signals the technical/research character of the internship more effectively than a posed headshot would. No wildlife species appear in either caption or image. The post functions purely as an internal team announcement / welcome post with no persuasive or fundraising intent.",DUYS-aeDTbR,competent,medium,one-person,"Hannah is shown in a working context, operating a SOLYS 2 sun tracker instrument in a desert field setting, positioning her as an active researcher rather than a posed portrait subject",,"muted desert tones — sandy beige, overcast grey sky, white instrument; casual and documentary in feel",none,False,"The caption makes no specific showable claim (no numbers, species, before/after) that the image ignores; it introduces a person and the image shows that person actively working on field equipment."
research instrument explainer,high,inform,none,explainer/list,illustrative,adds-info,"general-public, peers/researchers",informational,,institutional-formal,"A Campbell-Stokes sunshine recorder occupies the foreground in deliberate close focus, with the Gobabeb Research Station compound (water tower, weather mast, low buildings, dunes) visible in the softened background. The composition is intentional and effective at placing the instrument in its operational desert context. No wildlife, no people, no call to action. The post functions purely as science communication — naming an instrument, its location, and its research purpose. The caption could have added one concrete detail (e.g. how many years of records exist at Gobabeb) to make the claim more tangible, but that is an enrichment opportunity rather than a missed visual opportunity per the schema definition.",DUz7IcljPlu,competent,medium,none,n/a,,warm sandy desert tones with clear blue sky; muted earth palette,none,False,"The caption makes no specific showable claim (no number, no before/after) that the image ignores. The image directly depicts the described instrument in its field context."
awareness day commemoration,high,commemorate,Let's stand together to protect Namibia's pangolins,explainer/list,illustrative,repeats,"general-public,supporters","emotional,identity",pangolin,institutional-formal,"Classic multi-org awareness-day graphic: a high-quality wildlife photo overlaid with the event name and date, topped by a row of six partner logos (NACSO, Community Conservation Namibia, WWF, IRDNC, Community Leaders Network, TOSCO). The image adds genuine illustrative value — a close, sharp side-profile of a pangolin in natural habitat — but carries no information beyond what the caption states. The collective branding signals coordinated sector-wide participation rather than a single organisation's campaign. The caption's persuasive close ('protect our future') is aspirational boilerplate typical of awareness-day posts and does not constitute a concrete fundraising or action CTA.",DVAe29YCKEl,professional,medium,none,n/a,pangolin,"warm earth tones — ochre sand, muted brown scales against a blurred arid background",moderate,False,"The caption makes no specific showable claim (no numbers, maps, or before/after) that the image could have illustrated; the pangolin photo directly fulfils the post's commemorative purpose."
research milestone narrative,high,narrate,none,anecdote,illustrative,adds-info,general-public|supporters|peers/researchers,emotional|informational,pangolin,warm-personal,"The post functions as a longitudinal research story update — it narrates a named individual's disappearance and rediscovery, framing equipment failure and data gaps as normal fieldwork challenges before celebrating the outcome. The IMPORTANT NOTICE paragraph shifts register abruptly to institutional-formal, adding a trafficking-threat context and welfare assurance that reads as a precautionary statement for donors or oversight audiences rather than the general follower. The image is a close-up field photograph, shot at ground level, clearly taken at the moment of re-sighting (no studio or overlay treatment). The pup is visibly smaller and lighter in colour on top of the curled adult, which directly illustrates the '425g pup on her back' detail. No on-image text, no call to action; the post is self-contained narrative content.",DW6x4dRjNxf,competent,medium,none,absent,pangolin; pangolin pup,"warm earthy browns and dry savanna golds; muted, naturalistic",none,False,"The caption's central visual claim — a pup riding on its mother's back — is precisely what the image delivers. The mother is curled defensively into a ball with the tiny pup draped across her scales, confirming both the re-sighting and the offspring detail. No showable claim is left unillustrated."
recurring educational feature,high,inform,none,explainer/list,text-carrier,adds-info,youth|general-public,informational,Acanthosicyos horridus,institutional-formal,"'Plant of the Month' is a recurring series installment by namyouthchamber. The post's communicative work is entirely in the infographic; the caption functions as a mere title card. The graphic covers scientific name, common names in three languages (!Nara melon / Botterpitte / Omungaraha), ecological facts, threats (climate change, groundwater loss, habitat disturbance), and range (Namib Desert / Kuiseb River Delta). No persuasion frame, no ask. The embedded photograph of the spiny melons is small but functionally illustrative within the designed layout.",DWD7q9hijMg,screenshot-graphic,medium,none,,!Nara plant (Acanthosicyos horridus),"warm earth tones — terracotta orange, olive green, cream",text-dominant,False,"The infographic itself shows the plant via an embedded photograph and covers the key claims (range, threats, biology) — no showable claim is left unillustrated."
fieldwork science communication,high,inform,none,explainer/list,illustrative,adds-info,general-public|peers/researchers,informational|emotional,arthropods; insects; scorpion,institutional-formal,"Overhead shot of a petri dish containing pitfall-trap specimens laid on white paper towel — a standard lab sorting setup. The image is a candid, unposed documentation photo rather than a curated nature shot, which suits the scientific transparency framing of the caption. The caption carries the full explanatory weight (ecosystem services, JRS Biodiversity project credit, methodology), while the image provides concrete visual proof-of-fieldwork. No CTA; the post functions as institutional science communication showing behind-the-scenes museum/research work to a general and peer audience.",DWGywKJiuW1,competent,medium,none,no people visible,"scorpion (amber/yellow, likely Parabuthus sp.); scorpion fragment (partial); camel cricket or orthopteran (pale); darkling beetle (Tenebrionidae, large black)","neutral/clinical — white paper towel background, transparent petri dish, amber and black specimen colours",none,False,"The caption describes pitfall-trap specimen collection and sorting; the image shows actual collected specimens (scorpions, a beetle) in a petri dish, directly illustrating the sorting process described. No specific showable claim is left unillustrated."
case-update narrative,high,inform,none,anecdote,illustrative,repeats,"supporters, general-public","emotional, informational",white rhino,warm-personal,"The post functions as a serialised welfare update on a named individual animal — a format that builds ongoing audience investment ('Bull's Eye' as a recurring character). The caption is rich with clinical detail (proud flesh, Dr Redecker, three examinations, fragment migration) which lends credibility and positions AfriCat as a hands-on, science-informed operator rather than a passive wildlife manager. The image is technically excellent — sharp focus on texture and horn — but is almost certainly a stock or archive portrait of the animal rather than a current recovery shot, since none of the eye pathology described is visible. This is the key missed opportunity: the narrative promises evidence of healing but the image delivers a generic species portrait.",DQuKrLZDCfh,professional,high,none,none,white rhino,"warm earth tones — dry grass ochre, grey-brown hide, soft bokeh bush background; natural and grounded",none,True,"The caption's central claim is visible recovery — reduced swelling and a largely closed wound around the eye — but the image shows the rhino's healthy-looking face from a clean angle with no apparent injury visible. A close-up of the healing eye area, or a before/after pair, would have directly evidenced the medical progress described."
wildlife beauty share,high,inform,none,showcase,illustrative,adds-info,"general-public, tourists","aesthetic, emotional",,warm-personal,"No species is named in the caption or identifiable with confidence in the image — the animal appears as a semi-silhouetted quadruped in the mid-ground, consistent with a cheetah or large felid but unverifiable. Image credited to @conservation.diaries, indicating a repost or collaboration. The post makes no conservation ask and advances no argument; it functions as ambient brand-building through aspirational wilderness photography with a light nature-fact wrapper.",DR9lkQmjMsq,professional,high,none,none,"unidentified large quadruped (probable big cat, indistinct due to backlighting)","deep amber-orange golden hour, silhouetted acacia scrub, warm dust haze",none,False,"The image enacts the camouflage claim directly: the animal is nearly invisible against the backlit sunset, visually proving the caption's 'look twice' point. No specific showable fact is ignored."
data dissemination infographic,high,inform,"For interested readers, the 'Annual Namibia Wildlife Protection and Law Enforcement Report' can be found on our website. 🔗link in bio.",explainer/list,data-viz,adds-info,"peers/researchers, policymakers, supporters, general-public",informational,rhino; elephant; pangolin,institutional-formal,"This is a recurring monthly statistics release, not a persuasion or awareness post in the emotional sense. The image is itself the primary content: a designed infographic combining a pie chart (arrests by species), an isotype figure (11 total arrests), a choropleth-style map (5 regions with registered cases), a bar chart (annual rhino arrests 2018–2025), and headline KPIs (2 vehicles seized, 2 firearms seized, 1 case finalised, 100% conviction rate). No wildlife photography is used or needed. The caption contextualises the data source (BRTT/National Wildlife Crime Database) and credits institutional partners. Species named in the caption (pangolin implied via @C0921) do not appear in the infographic visuals; rhino and elephant are the only species quantified in the pie chart. The post functions as a transparency/accountability report from NNF's combatting wildlife crime programme.",DSAAY7CCL0h,professional,high,none,none,,"dark navy and teal with gold/amber accent — authoritative, data-dashboard aesthetic",text-dominant,False,"The image is a purpose-built infographic that directly visualises the quantitative claims in the caption (arrests, seizures, species breakdown, regional map, annual trend chart). No showable claim is left unillustrated."
staff conservation showcase,high,narrate,none,anecdote,illustrative,adds-info,tourists|supporters,emotional|identity,black rhino; white rhino,warm-personal,"Post functions as a human-interest vignette that personalises Ongava's conservation identity through a named staff member. The zero-poaching claim is the implicit differentiator being promoted to a tourist/supporter audience, but it is never made into an explicit ask. No rhino is visible despite the caption's rhino focus — the image delivers character/place rather than species evidence.",DSo4McVCYZ-,competent,medium,one-person,Guide Nico is the named subject; his Ongava-branded jacket signals institutional affiliation and gives the conservation story a human face,,"warm earth tones (dry golden grass, khaki uniform) against a clear blue sky — an open, authentic bush feel",none,True,"The caption centres on rhino — both black and white — as symbols of Ongava's zero-poaching record, yet no rhino appears in the image. A rhino shot (alone or with Nico) would have made the claim concrete and visually compelling."
programme showcase,high,inform,none,showcase,illustrative,repeats,"donors,supporters,general-public","emotional,identity",rhino,warm-personal,"The post functions as an organisational self-presentation piece — SRT asserting its community-development mandate. The image humanises the organisation by showing local community members, but it is a casual snapshot with no production value and no wildlife or fieldwork context. No rhinos or conservation artefacts are visible, so the image only loosely corroborates the caption. No explicit ask is made of the audience.",DTHxtDGDjph,amateur,low,crowd,community members and apparent programme participants posed informally for a group photo; one person wears what appears to be a field-staff uniform,,"warm, casual, colourful clothing against a sandy-pink brick wall; bright daylight",none,True,"Caption names specific roles (rhino rangers, game guards, custodians) and activities (data monitoring, awareness programmes) but the image is a generic group photo outside a brick building with no visual cues linking it to rhino conservation or fieldwork — a ranger in uniform or a data-collection scene would have grounded the claims."
mission showcase,high,inform,none,showcase,illustrative,repeats,tourists|supporters|general-public,emotional|identity,rhino,warm-personal,"Post functions as an organisational identity statement rather than a call to action: it foregrounds Harnas's rehabilitation legacy (45 years) through an emotionally resonant image of two rhinos moving together. The adult-and-juvenile pairing visually reinforces the 'second chance' narrative without requiring explicit persuasion. No ask is made. The image independently confirms the caption's subject count and conveys wildness and freedom, aligning with a release-programme narrative.",DTw-cDsjg1M,professional,high,none,none,white rhino,"warm golden-hour, earthy browns and muted greens",none,False,"The caption claims two rhinos on a rehabilitation journey and the image delivers exactly that — two white rhinos walking together in open savanna. The '45 years' longevity claim is abstract and not visualisable, so no missed opportunity arises."
rescue animal showcase,high,narrate,none,anecdote,text-carrier,adds-info,"general-public, supporters","emotional, identity",cheetah,warm-personal,"The image is a video-still reel frame of a three-legged cheetah named Lucky eating from a steel bowl on red Kalahari sand; the on-image caption text identifies the individual by name and disability. The posted caption ('So the big ones can stay strong and healthy!') functions as a punch-line or explanatory tail to an implied preceding context (likely supplemental feeding or a rescue programme), evoking an affectionate, pride-in-care tone rather than any persuasive or fundraising ask. The post introduces a named, disabled animal — a classic individual-story hook — which builds parasocial attachment without an explicit CTA.",DUgMnW8jL3b,competent,medium,none,n/a,cheetah,"warm earth tones — red sand, green grass, golden coat",minimal,False,Caption makes no specific quantitative or locational claim that the image ignores; the on-image text names the individual and the image shows the feeding behaviour directly
partner thank-you announcement,high,thank,none,milestone,symbolic,repeats,donors|supporters|general-public,social-normative|identity,rhino,warm-personal,"Post functions as a public gratitude signal directed at corporate partners (Tusk, Jaguar Land Rover) and visible to followers as social-normative proof of institutional support. No rhinos or fieldwork appear in the image; the visual adds no information beyond confirming the brand. The tilted low-angle framing of a dealership sign reads as a snapshot taken on arrival rather than a composed handover photo, substantially undercutting the celebratory intent of the caption.",DXY1VUcAHbh,amateur,low,none,absent,,"cool blue, flat — backlit corporate signage against pale sky",minimal,True,"Caption announces a Defender vehicle handover — a concrete, showable object — but the image shows only the Land Rover dealership signage shot from an awkward low angle. Neither the donated vehicle nor any Save the Rhino Trust staff/rangers appear, missing a natural opportunity to show the actual handover moment, the Defender, or fieldwork context that would make the partnership tangible."
